id,number of rooms,price(rub),metro,time(min),total area(м²),year of completion,living area(м²),kitchen area(м²),ceiling height(м),type of house,WC,apartment floor,total floors,readiness,num of elevators,type of elevators
283969757,1,16042265,Савёловская,13,32.2,2025,36.2,18.1,3.0,Монолитный,1,4,22,Без отделки,1,пассажирский
284037342,1,16297308,Технопарк,17,43.5,2024,36.2,18.1,3.1,Монолитно-кирпичный,1,2,17,Без отделки,1,пассажирский
266826884,1,17086799,Дмитровская,8,32.1,2025,11.2,13.4,3.0,Монолитный,1,11,36,Чистовая,3,пассажирский
284807290,1,18669730,Преображенская площадь,5,46.59,2024,36.2,18.1,3.1,Монолитно-кирпичный,1,2,17,Без отделки,1,пассажирский
264958724,1,19015154,Марьина роща,8,43.45,2024,36.2,18.1,3.0,Монолитный,1,38,55,Предчистовая,4,пассажирский
282960185,1,19372990,Спартак,12,42.7,2025,11.9,9.5,3.2,Монолитный,1,2,19,Черновая,1,пассажирский
283456071,1,20065122,Тушинская,5,46.2,2022,36.2,18.1,3.2,Монолитный,1,9,24,Черновая,1,пассажирский
281325484,1,20265047,Технопарк,5,41.36,2023,36.2,18.1,3.2,Монолитный,1,4,6,Без отделки,1,пассажирский
274260488,1,21808632,Фили,5,42.8,2026,36.2,18.1,3.1,Монолитно-кирпичный,1,2,45,Без отделки,4,пассажирский
285461914,1,22600070,Терехово,12,37.3,2023,36.2,18.1,3.1,Монолитный,1,5,13,Чистовая с мебелью,1,пассажирский
272591258,1,22757663,Фили,5,42.23,2023,36.2,18.1,2.9,Монолитный,1,6,57,Предчистовая,1,пассажирский
285682617,1,25064000,Белорусская,4,48.2,2023,36.2,5.4,3.1,Монолитный,1,8,16,Предчистовая,2,пассажирский
274969991,1,25148988,Серпуховская,16,43.53,2023,11.1,18.1,3.0,Монолитный,1,2,46,Предчистовая,3,грузовой
285606751,1,25169600,Ботанический сад,9,54.4,2024,14.5,18.1,3.0,Монолитно-кирпичный,1,10,21,Без отделки,2,пассажирский
282699510,1,30303214,Белорусская,14,48.83,2025,13.1,18.4,3.1,Монолитный,1,10,26,Без отделки,2,пассажирский
279224278,1,31000000,Ленинский проспект,13,48.73,2023,12.5,22.8,2.9,Монолитный,2,5,8,Чистовая,2,пассажирский
268828538,1,32547900,Деловой центр,3,55.0,2023,39.3,18.1,3.2,Монолитный,1,3,41,Предчистовая,2,пассажирский
280755821,1,33159459,Павелецкая,9,50.2,2025,36.2,18.1,3.1,Монолитный,1,16,24,Черновая,2,пассажирский
277738124,2,34069999,Белорусская,7,77.85,2024,30.5,27.1,3.2,Монолитный,1,5,21,Без отделки,1,пассажирский
285442011,1,44345000,Воробьёвы горы,13,55.3,2026,12.3,18.1,3.2,Монолитный,1,2,18,Без отделки,1,пассажирский
262519487,1,60214140,Улица 1905 года,6,68.27,2023,36.2,23.5,3.0,Монолитный,1,2,21,Чистовая с мебелью,1,пассажирский
284404564,1,77560000,Арбатская,9,110.8,2019,36.2,18.1,3.3,Монолитный,2,4,8,Без отделки,1,пассажирский
281896678,1,81060000,Площадь Революции,2,40.05,2024,20.6,18.1,3.6,Монолитно-кирпичный,1,1,5,Без отделки,0,пассажирский
284824229,1,100992471,Октябрьская,1,89.34,2023,36.2,18.1,3.1,Монолитный,2,4,9,Чистовая,1,пассажирский
281050891,1,131280000,Третьяковская,5,72.6,2024,14.3,31.0,3.4,Монолитный,2,2,14,Без отделки,3,пассажирский
281914898,2,149930000,Площадь Революции,2,67.07,2024,38.7,18.1,3.6,Монолитно-кирпичный,1,3,5,Без отделки,0,пассажирский
281896679,3,170060000,Площадь Революции,2,88.1,2024,56.3,18.1,3.6,Монолитно-кирпичный,2,2,5,Без отделки,0,пассажирский
275923519,1,179646330,Новокузнецкая,15,81.65,2024,13.0,24.7,7.6,Монолитно-кирпичный,1,6,6,Черновая,1,пассажирский
277524786,4,552950000,Площадь Революции,2,186.14,2024,119.5,18.1,3.6,Монолитно-кирпичный,3,4,4,Без отделки,0,пассажирский
281875124,2,1215100000,Третьяковская,3,473.8,2024,46.1,67.7,3.4,Монолитный,4,1,3,Без отделки,0,пассажирский
285606684,2,27284000,Ботанический сад,9,61.0,2024,26.2,18.1,3.0,Монолитно-кирпичный,1,2,21,Без отделки,2,пассажирский
283996667,1,18667867,Красный Балтиец,4,43.8,2025,12.2,20.5,3.0,Монолитный,1,19,20,Предчистовая,1,пассажирский
281257851,2,35422783,Лужники,3,60.3,2023,36.2,18.1,3.2,Монолитный,1,4,41,Предчистовая,2,пассажирский
277738052,3,38039999,Белорусская,7,91.13,2024,45.6,28.9,3.2,Монолитный,1,3,21,Без отделки,1,пассажирский
283856103,3,100912521,Парк Победы,7,85.7,2023,65.7,18.1,3.6,Монолитный,2,10,32,Чистовая,1,пассажирский
281050892,3,225070000,Третьяковская,5,142.1,2024,46.6,44.3,3.4,Монолитный,3,2,14,Без отделки,3,пассажирский
281050977,4,459070000,Полянка,5,200.8,2024,66.9,47.7,3.4,Монолитный,4,8,14,Без отделки,3,пассажирский
283856118,2,44830642,Парк Победы,7,50.8,2023,30.8,18.1,3.6,Монолитный,1,20,32,Чистовая,1,пассажирский
279205862,1,14417994,Алексеевская,4,36.3,2021,36.2,18.1,3.1,Монолитный,1,15,15,Без отделки,1,пассажирский
282901111,1,16800000,Шелепиха,3,29.63,2024,13.6,11.0,3.1,Монолитный,1,24,50,Без отделки,3,пассажирский
284037003,1,23111519,Павелецкая,8,46.7,2025,36.2,18.1,3.3,Монолитно-кирпичный,1,9,19,Без отделки,1,пассажирский
285416439,1,28298200,Мичуринский проспект,16,41.0,2024,11.4,21.1,3.1,Монолитный,1,20,30,Чистовая с мебелью,1,пассажирский
284037880,2,26208530,Технопарк,17,76.2,2024,36.2,18.1,3.1,Монолитно-кирпичный,2,2,15,Без отделки,1,пассажирский
283856124,4,191064916,Парк Победы,7,175.6,2023,155.6,18.1,3.6,Монолитный,3,22,32,Чистовая,1,пассажирский
281686968,2,168240000,Чистые пруды,4,88.1,2025,43.7,10.0,3.9,Монолитный,2,4,6,Без отделки,2,пассажирский
284037362,4,46790705,Технопарк,17,121.1,2024,36.2,18.1,3.1,Монолитно-кирпичный,2,5,17,Без отделки,1,пассажирский
284037084,3,27904792,ЗИЛ,11,80.2,2024,36.2,18.1,3.1,Монолитно-кирпичный,2,12,17,Без отделки,1,пассажирский
280427152,1,75384000,Смоленская,6,104.7,2019,36.2,18.1,3.6,Монолитный,2,4,5,Без отделки,0,пассажирский
281686962,4,217210000,Чистые пруды,4,119.2,2025,62.2,5.0,3.9,Монолитный,2,3,6,Без отделки,2,пассажирский
285255079,4,67482660,Терехово,9,130.2,2024,44.3,40.6,3.1,Монолитный,2,21,22,Без отделки,1,пассажирский
275341742,4,109532938,Фили,10,147.0,2026,36.2,18.1,3.4,Монолитно-кирпичный,2,34,46,Черновая,4,пассажирский
285462004,2,41267460,Терехово,14,83.1,2023,36.2,18.1,3.1,Монолитный,2,7,9,Без отделки,1,пассажирский
280298473,4,73429599,Дмитровская,5,135.02,2025,69.6,5.4,3.0,Монолитный,1,49,49,Предчистовая,3,пассажирский
281686954,3,133140000,Чистые пруды,4,79.5,2025,67.2,3.0,5.4,Монолитный,3,1,6,Без отделки,2,пассажирский
280707242,2,37415683,Фили,5,73.4,2026,36.2,18.1,3.1,Монолитно-кирпичный,2,13,45,Без отделки,4,пассажирский
284346452,4,45672114,Спартак,5,113.0,2022,36.2,18.1,3.2,Монолитный,2,10,24,Черновая,1,пассажирский
274568636,2,66301670,Парк Победы,6,65.42,2023,36.2,18.1,3.1,Монолитный,2,4,11,Чистовая,1,пассажирский
274568579,4,221896672,Парк Победы,5,150.84,2023,36.2,18.1,3.1,Монолитный,4,9,11,Чистовая,1,пассажирский
285253846,3,49448400,Терехово,7,106.8,2024,37.8,36.2,3.1,Монолитный,2,16,22,Без отделки,1,пассажирский
285462029,1,14374000,Шелепиха,13,37.4,2021,36.2,18.1,3.2,Монолитный,1,5,24,Без отделки,1,пассажирский
274260646,3,61791014,Фили,6,88.6,2026,36.2,18.1,3.1,Монолитно-кирпичный,2,5,45,Чистовая,4,пассажирский
280298740,2,26758693,Дмитровская,5,62.8,2025,23.7,6.4,3.0,Монолитный,1,33,54,Предчистовая,3,пассажирский
265041025,3,32266471,Дмитровская,7,85.49,2025,34.1,27.8,3.0,Монолитный,2,12,43,Предчистовая,3,пассажирский
284346450,3,42095297,Тушинская,5,90.6,2022,36.2,18.1,3.3,Монолитный,2,23,24,Черновая,1,пассажирский
283393287,1,49992800,Выставочная,3,50.6,2020,36.2,18.1,3.9,Монолитный,1,41,65,Без отделки,4,пассажирский
283969686,4,36921885,Савёловская,13,97.5,2025,36.2,18.1,3.0,Монолитный,2,4,22,Без отделки,1,пассажирский
283969812,2,25806753,Савёловская,13,48.5,2025,36.2,18.1,3.0,Монолитный,1,4,9,Чистовая,1,пассажирский
283864458,4,59449856,Фили,5,119.08,2023,36.2,18.1,2.9,Монолитный,2,45,57,Предчистовая,1,пассажирский
274568608,3,93952604,Парк Победы,6,99.65,2023,36.2,6.8,3.1,Монолитный,2,8,10,Чистовая,1,пассажирский
285441867,4,113007000,Воробьёвы горы,12,155.9,2026,57.4,18.1,3.2,Монолитный,3,11,17,Без отделки,1,пассажирский
285682464,2,34485000,Белорусская,3,62.7,2023,36.2,5.7,3.1,Монолитный,1,3,10,Предчистовая,2,пассажирский
275275802,2,34655204,Тушинская,5,86.7,2022,36.2,18.1,3.2,Монолитный,2,12,24,Черновая,1,пассажирский
283969719,3,35822031,Савёловская,13,95.3,2025,36.2,18.1,3.0,Монолитный,2,4,11,Без отделки,1,пассажирский
285442087,2,49342000,Воробьёвы горы,12,66.2,2026,23.8,18.1,3.2,Монолитный,1,10,18,Предчистовая,1,пассажирский
281335035,4,53410525,Преображенская площадь,5,120.09,2024,36.2,18.1,3.1,Монолитно-кирпичный,2,15,17,Без отделки,1,пассажирский
276650491,4,87053250,Спартак,12,142.5,2025,70.2,8.0,3.4,Монолитный,3,9,22,Черновая,1,пассажирский
285441828,3,91186000,Воробьёвы горы,12,122.2,2026,44.5,18.1,3.2,Монолитный,2,10,17,Без отделки,1,пассажирский
284824326,4,346180000,Октябрьская,1,174.78,2023,36.2,18.1,3.1,Монолитный,3,8,9,Чистовая,1,пассажирский
281335047,3,40763869,Преображенская площадь,5,98.4,2024,36.2,18.1,3.1,Монолитно-кирпичный,2,7,17,Без отделки,1,пассажирский
272591246,3,41336553,Фили,5,83.33,2023,36.2,18.1,2.9,Монолитный,2,6,57,Предчистовая,1,пассажирский
278362794,4,76721570,Белорусская,14,126.55,2025,62.3,32.8,3.1,Монолитный,3,19,26,Без отделки,2,пассажирский
283744302,4,115544000,Арбатская,6,114.4,2017,36.2,18.1,3.0,Монолитно-кирпичный,2,4,6,Без отделки,1,пассажирский
283844186,4,184384845,Выставочная,1,232.5,2015,36.2,18.1,3.1,Монолитный,3,75,85,Чистовая,15,грузовой
268963805,4,194445720,Улица 1905 года,8,220.46,2023,36.2,18.1,3.0,Монолитный,3,8,15,С отделкой,1,пассажирский
281513987,4,216248500,Ленинский проспект,13,227.63,2023,36.2,18.1,3.1,Монолитный,3,17,17,Предчистовая,2,пассажирский
267483581,4,42403647,Марьина роща,8,112.09,2024,36.2,18.1,3.0,Монолитный,2,46,55,Предчистовая,4,пассажирский
280755931,3,53295211,Павелецкая,8,114.8,2025,36.2,18.1,3.1,Монолитный,2,6,32,Без отделки,2,пассажирский
272591276,2,30896849,Фили,5,60.55,2023,36.2,18.1,2.9,Монолитный,1,6,57,Предчистовая,1,пассажирский
254287055,3,41946660,Фили,6,97.2,2021,52.1,17.3,3.5,Монолитный,2,8,41,Предчистовая,1,пассажирский
274969663,4,60492000,Павелецкая,15,99.43,2023,45.4,18.1,3.0,Монолитный,2,25,28,Предчистовая,3,пассажирский
283206105,3,41486840,Спартак,12,112.4,2025,44.9,10.0,3.2,Монолитный,2,6,9,Черновая,1,пассажирский
281379942,3,81523500,Ленинский проспект,13,141.78,2023,81.4,8.2,3.1,Монолитный,4,8,17,Предчистовая,2,пассажирский
274789013,4,151300000,Арбатская,9,222.5,2019,36.2,18.1,3.3,Монолитный,3,5,8,Без отделки,1,пассажирский
281159517,2,29367024,Преображенская площадь,5,66.52,2024,36.2,18.1,3.1,Монолитно-кирпичный,1,12,17,Без отделки,1,пассажирский
285256608,4,56768818,Мичуринский проспект,11,129.6,2025,66.2,20.0,3.1,Монолитный,3,39,49,Без отделки,1,пассажирский
285611804,4,82712467,Павелецкая,7,116.1,2025,36.2,18.1,3.3,Монолитно-кирпичный,2,10,20,Без отделки,1,пассажирский
283844160,3,123820105,Выставочная,1,187.5,2015,36.2,18.1,3.1,Монолитный,3,37,85,Чистовая,15,грузовой
285416211,1,42049100,Мичуринский проспект,12,56.9,2024,14.4,20.0,3.6,Монолитный,1,8,9,Без отделки,1,пассажирский
285255481,4,51387942,Шелепиха,14,109.3,2024,65.6,17.8,3.2,Монолитный,2,7,41,Без отделки,1,пассажирский
285255368,4,116654580,Мичуринский проспект,12,170.1,2024,88.9,19.6,3.6,Монолитный,2,3,12,Без отделки,1,пассажирский
284824268,2,117315218,Октябрьская,1,99.77,2023,36.2,18.1,3.1,Монолитный,2,6,9,Чистовая,1,пассажирский
276630483,3,33482289,Технопарк,5,98.63,2023,36.2,18.1,3.2,Монолитный,2,3,24,Без отделки,1,пассажирский
284803737,2,37111200,Фили,6,75.2,2021,51.8,18.1,3.5,Монолитный,2,33,41,Предчистовая,1,пассажирский
283393219,4,158533200,Выставочная,3,209.7,2020,36.2,18.1,3.9,Монолитный,1,36,65,Без отделки,4,пассажирский
283760231,1,52888000,Киевская,16,60.1,2025,36.2,18.1,3.1,Монолитный,1,10,17,Без отделки,1,пассажирский
268579031,3,90726400,Арбатская,5,102.4,2017,51.2,13.6,3.0,Монолитно-кирпичный,3,2,6,Без отделки,1,пассажирский
283760142,4,139491000,Киевская,16,140.9,2025,36.2,18.1,3.1,Монолитный,2,10,17,Без отделки,1,пассажирский
262519746,3,144689490,Улица 1905 года,6,162.39,2023,36.2,48.1,3.0,Монолитный,3,4,21,Чистовая с мебелью,1,пассажирский
274788004,4,176728500,Смоленская,6,206.7,2019,36.2,18.1,3.6,Монолитный,3,3,5,Без отделки,0,пассажирский
280431711,1,18978086,Тульская,8,34.3,2024,23.8,18.1,3.0,Монолитный,1,2,13,Предчистовая,2,пассажирский
264958701,3,33002902,Марьина роща,8,85.49,2024,36.2,18.1,3.0,Монолитный,2,36,55,Предчистовая,4,пассажирский
284420072,4,37170927,Печатники,17,105.1,2025,47.4,23.9,2.8,Монолитный,2,15,29,Без отделки,3,грузовой
284059719,3,37499410,Белорусская,14,74.81,2025,42.5,7.6,3.1,Монолитный,2,6,34,Без отделки,2,пассажирский
282389377,4,37558000,Беговая,7,105.5,2022,36.2,18.1,2.8,Панельный,2,7,25,Чистовая,3,пассажирский
284890943,4,38098785,Мичуринский проспект,10,97.5,2025,74.0,7.9,3.0,Монолитный,2,49,54,Без отделки,4,пассажирский
260683805,3,54398400,Фили,8,97.14,2023,36.2,18.1,3.0,Монолитный,2,2,11,Чистовая,1,пассажирский
282920063,4,125338237,Алексеевская,4,201.3,2021,36.2,18.1,3.1,Монолитный,3,14,15,Без отделки,1,пассажирский
278843058,4,432176346,Кузнецкий мост,3,226.7,2024,68.9,68.9,3.1,Монолитный,4,4,6,Чистовая,2,пассажирский
285576464,1,14933216,Печатники,17,32.8,2025,12.3,13.3,2.8,Монолитный,1,16,29,Без отделки,3,грузовой
284890136,4,19633373,Кожуховская,6,78.0,2025,33.8,24.5,2.8,Монолитный,1,2,69,Без отделки,4,пассажирский
284795554,3,26332534,Красный Балтиец,4,69.6,2025,46.3,5.4,3.0,Монолитный,2,10,20,Предчистовая,1,пассажирский
265095906,4,32720000,Аминьевская,10,79.6,2022,36.2,18.1,3.0,Монолитный,2,25,27,Без отделки,3,пассажирский
274969415,2,33464999,Серпуховская,5,63.1,2024,25.3,24.4,3.0,Монолитный,1,9,41,Предчистовая,4,пассажирский
273591418,4,36087310,Технопарк,15,84.1,2023,36.2,18.1,3.1,Монолитно-кирпичный,2,3,20,Без отделки,1,пассажирский
274969848,3,40332865,Серпуховская,17,81.2,2024,36.8,30.2,3.0,Монолитный,2,6,28,Предчистовая,3,пассажирский
260683808,2,42715100,Фили,8,76.41,2023,36.2,18.1,3.0,Монолитный,2,2,11,Чистовая,1,пассажирский
285256911,3,44822425,Мичуринский проспект,14,98.5,2025,39.7,26.2,3.1,Монолитный,2,33,48,Без отделки,1,пассажирский
280755805,2,50478371,Павелецкая,9,88.7,2025,36.2,18.1,3.1,Монолитный,2,10,24,Черновая,2,пассажирский
271365711,2,51892800,Ленинский проспект,13,91.04,2023,44.9,8.0,3.1,Монолитный,3,5,17,Предчистовая,2,пассажирский
285606947,4,58768400,Ботанический сад,9,127.6,2024,58.0,18.1,3.0,Монолитно-кирпичный,2,13,21,Без отделки,2,пассажирский
285611797,3,61671787,Павелецкая,7,95.4,2025,36.2,18.1,3.3,Монолитно-кирпичный,2,9,20,Без отделки,1,пассажирский
273874861,5,66271040,Нагорная,19,147.4,2023,36.2,18.1,3.0,Монолитный,2,42,42,Без отделки,6,пассажирский
285255319,3,86755240,Мичуринский проспект,12,127.6,2024,58.6,21.0,3.6,Монолитный,1,2,9,Без отделки,1,пассажирский
280407302,3,88000000,Улица 1905 года,7,120.83,2024,36.2,18.1,3.1,Монолитный,2,4,21,Без отделки,1,пассажирский
284404565,3,103600000,Арбатская,9,129.5,2019,36.2,18.1,3.3,Монолитный,2,5,8,Без отделки,1,пассажирский
281159338,3,132255040,Новокузнецкая,15,119.45,2024,36.2,32.6,3.2,Монолитно-кирпичный,2,2,6,Черновая,1,пассажирский
274547659,5,145000000,Выставочная,7,151.36,2023,123.7,22.7,3.0,Монолитный,3,13,65,Чистовая,4,пассажирский
278843056,1,230079360,Кузнецкий мост,3,148.4,2024,20.8,68.8,3.1,Монолитный,1,3,6,Чистовая,2,пассажирский
276630457,2,22329283,Технопарк,5,61.82,2023,36.2,18.1,3.2,Монолитный,1,2,6,Без отделки,1,пассажирский
275395952,2,24732000,Спартак,12,60.0,2025,28.9,13.1,3.1,Монолитный,2,5,10,Черновая,1,пассажирский
275395952,2,24732000,Спартак,12,60.0,2025,28.9,13.1,3.1,Монолитный,2,5,10,Черновая,1,пассажирский
284832240,4,26539800,Коптево,6,106.8,2024,63.0,14.9,2.8,Монолитный,2,6,18,Без отделки,1,пассажирский
275574071,2,26927565,Рижская,14,66.57,2024,36.2,18.1,3.0,Монолитный,1,21,55,Предчистовая,4,пассажирский
285255470,3,39424716,Шелепиха,14,83.8,2024,46.5,16.9,3.2,Монолитный,1,31,41,Без отделки,4,пассажирский
278362771,2,44026315,Белорусская,14,75.5,2025,26.2,32.5,3.1,Монолитный,2,19,26,Без отделки,2,пассажирский
279316258,4,50783330,Петровский Парк,5,113.0,2024,36.2,18.1,3.1,Монолитный,2,8,8,Без отделки,1,пассажирский
283844196,2,59145576,Выставочная,1,82.7,2015,36.2,18.1,3.1,Монолитный,2,25,85,Чистовая,15,грузовой
284623849,3,94893400,Выставочная,4,112.7,2019,36.2,18.1,3.9,Монолитный,2,54,78,Без отделки,4,пассажирский
283691130,2,97000000,Улица 1905 года,7,108.0,2023,35.0,30.5,3.1,Монолитный,2,9,21,Чистовая,1,пассажирский
285837907,3,101479168,Курская,6,164.7,2022,36.2,18.1,3.9,Кирпичный,3,11,11,Без отделки,1,пассажирский
262519758,2,101354550,Улица 1905 года,6,110.77,2023,36.2,34.6,3.0,Монолитный,2,5,21,Чистовая с мебелью,1,пассажирский
280748944,2,103915152,Новокузнецкая,15,74.91,2024,26.0,23.5,3.2,Монолитно-кирпичный,2,4,6,Черновая,1,пассажирский
274788995,2,118650000,Арбатская,9,113.0,2019,36.2,18.1,3.3,Монолитный,2,8,8,Без отделки,1,пассажирский
274788015,3,225138000,Смоленская,6,143.4,2019,36.2,18.1,3.6,Монолитный,2,5,5,Без отделки,0,пассажирский
284889094,4,24597012,Тушинская,18,114.9,2024,67.4,26.0,3.0,Монолитный,2,19,24,Без отделки,1,пассажирский
283996640,2,27970201,Красный Балтиец,4,76.2,2025,25.8,28.4,3.0,Монолитный,2,2,20,Предчистовая,1,пассажирский
281686512,4,30336264,Прокшино,9,133.1,2022,48.0,28.7,2.8,Монолитный,3,3,18,Чистовая,2,грузовой
279205819,3,43682138,Алексеевская,4,128.8,2021,36.2,18.1,3.1,Монолитный,2,11,15,Без отделки,1,пассажирский
283760149,3,77748000,Киевская,16,102.3,2025,36.2,18.1,3.1,Монолитный,2,10,17,Без отделки,1,пассажирский
278068554,4,15558186,Бунинская аллея,8,64.6,2024,33.4,18.5,3.0,Монолитный,1,3,9,Без отделки,1,пассажирский
284420071,3,32708535,Печатники,17,85.2,2025,36.7,23.8,2.8,Монолитный,2,25,29,Без отделки,3,грузовой
281251601,4,36151500,Гражданская,10,93.9,2025,63.5,5.7,3.6,Монолитный,2,18,25,Без отделки,3,пассажирский
273055028,3,43312192,Динамо,17,82.8,2017,36.2,18.1,3.1,Монолитный,2,21,24,Без отделки,2,пассажирский
271240211,3,48536735,Тульская,8,102.8,2024,64.6,18.1,3.0,Монолитный,2,8,13,Предчистовая,2,пассажирский
283964519,4,63623171,Алексеевская,10,117.9,2022,60.5,18.3,0.0,Монолитно-кирпичный,2,11,19,Черновая,1,грузовой
279712363,4,13727508,Бунинская аллея,9,64.2,2024,31.6,18.8,3.0,Монолитный,1,6,10,Без отделки,1,пассажирский
285392995,3,15099394,Кожуховская,6,56.2,2025,27.5,19.1,2.8,Монолитный,1,4,69,Без отделки,4,пассажирский
284540170,1,19412000,Беговая,11,46.0,2022,36.2,18.1,2.8,Панельный,1,18,25,Чистовая,3,пассажирский
278578385,1,19774710,Технопарк,15,36.9,2023,36.2,18.1,3.1,Монолитно-кирпичный,1,7,20,Без отделки,1,пассажирский
279205859,2,22401066,Алексеевская,4,60.2,2021,36.2,18.1,3.1,Монолитный,1,15,15,Без отделки,1,пассажирский
284890972,3,24525087,Мичуринский проспект,10,59.1,2025,41.6,5.4,3.0,Монолитный,2,42,54,Без отделки,4,пассажирский
282212572,4,33180000,Бутырская,10,87.15,2024,47.1,10.0,3.2,Монолитный,2,3,28,Без отделки,2,пассажирский
269733096,3,34463280,Беговая,11,88.8,2022,36.2,18.1,2.8,Панельный,2,25,25,Чистовая,3,пассажирский
285606677,3,35583400,Ботанический сад,9,87.8,2024,37.7,18.1,3.0,Монолитно-кирпичный,2,2,21,Без отделки,2,пассажирский
243143736,4,36807600,Шелепиха,8,99.48,2023,48.4,30.8,3.0,Монолитно-кирпичный,2,4,51,Без отделки,4,пассажирский
283964828,4,41218840,Технопарк,10,105.6,2023,36.2,18.1,3.0,Монолитный,2,6,9,Без отделки,1,пассажирский
